Nom de la commune,Population municipale,proportion de vote pour le parti A, Latitude , Longitude 
Port-Jérôme-sur-Seine,9704,0.539,49.483333,0.583333
Notre-Dame-du-Bec,452,0.482,49.6,0.216667
Notre-Dame-du-Parc,153,0.459,49.75,1.133333
Nullemont,138,0.418,49.766667,1.633333
Ocqueville,448,0.655,49.8,0.683333
Octeville-sur-Mer,5791,0.430,49.55,0.116667
Offranville,3138,0.359,49.866667,1.05
Oherville,230,0.508,49.733333,0.683333
Oissel,11366,0.521,49.333333,1.1
Omonville,268,0.374,49.8,1.05
Orival,954,0.514,49.3,0.983333
Osmoy-Saint-Valery,355,0.379,49.8,1.316667
Ouainville,512,0.480,49.783333,0.583333
Oudalle,441,0.373,49.5,0.3
Ourville-en-Caux,1108,0.701,49.733333,0.6
Ouville-l'Abbaye,655,0.630,49.7,0.866667
Ouville-la-Rivière,518,0.538,49.866667,0.966667
Paluel,454,0.402,49.833333,0.633333
Parc-d'Anxtot,582,0.491,49.583333,0.383333
Pavilly,6308,0.481,49.566667,0.966667
Le Petit-Quevilly,22903,0.711,49.433333,1.033333
Petiville,1120,0.669,49.466667,0.583333
Pierrecourt,474,0.418,49.9,1.666667
Pierrefiques,139,0.701,49.683333,0.233333
Pierreval,492,0.460,49.55,1.25
Pissy-Pôville,1226,0.356,49.533333,1
Pleine-Sève,143,0.466,49.816667,0.75
Pommereux,99,0.475,49.6,1.616667
Pommeréval,432,0.380,49.733333,1.316667
Ponts-et-Marais,776,0.376,50.05,1.45
La Poterie-Cap-d'Antifer,446,0.759,49.666667,0.183333
Préaux,1782,0.547,49.483333,1.216667
Prétot-Vicquemare,198,0.412,49.733333,0.85
Preuseville,123,0.536,49.866667,1.516667
Puisenval,28,0.649,49.883333,1.466667
Quevillon,599,0.477,49.416667,0.95
Quévreville-la-Poterie,962,0.362,49.35,1.2
Quiberville,549,0.518,49.9,0.916667
Quièvrecourt,456,0.289,49.733333,1.416667
Quincampoix,2966,0.458,49.533333,1.183333
Raffetot,502,0.382,49.6,0.516667
Rainfreville,78,0.480,49.783333,0.933333
Réalcamp,673,0.595,49.85,1.633333
Rebets,144,0.474,49.5,1.383333
La Remuée,1302,0.437,49.533333,0.4
Rétonval,197,0.491,49.816667,1.6
Reuville,128,0.540,49.75,0.866667
Ricarville,322,0.566,49.633333,0.6
Ricarville-du-Val,165,0.428,49.816667,1.283333
Richemont,482,0.525,49.8,1.65
Rieux,651,0.657,49.933333,1.583333
Riville,316,0.455,49.733333,0.566667
Robertot,200,0.379,49.716667,0.7
Rocquefort,311,0.552,49.666667,0.7
Rocquemont,820,0.408,49.6,1.283333
Rogerville,1231,0.424,49.5,0.266667
Rolleville,1149,0.555,49.583333,0.216667
Roncherolles-en-Bray,484,0.548,49.616667,1.466667
Ronchois,163,0.346,49.716667,1.633333
Rosay,273,0.255,49.7,1.25
Rouen-1,38359,0.455,49.433333,1.083333
Rouen-2,35378,0.560,49.433333,1.083333
Rouen-3,36881,0.839,49.433333,1.083333
Roumare,1422,0.399,49.516667,0.966667
Routes,253,0.582,49.733333,0.75
Rouvray-Catillon,229,0.369,49.566667,1.483333
